user_id,age,gender,location,signup_date
U00001,32,M,San Jose,2026-06-24
U00002,53,F,Phoenix,2026-07-31
U00003,29,F,New York,2025-10-20
U00004,41,F,San Diego,2026-03-26
U00005,65,M,San Jose,2025-09-02
U00006,55,M,Houston,2026-02-23
U00007,34,M,London,2026-03-04
U00008,33,M,Tokyo,2026-06-26
U00009,55,M,Tokyo,2025-11-28
U00010,25,M,Mumbai,2026-05-25
U00011,48,M,Houston,2026-07-24
U00012,61,F,London,2026-03-16
U00013,52,F,Houston,2025-08-22
U00014,25,M,Phoenix,2025-09-13
U00015,74,Other,Phoenix,2026-06-02
U00016,72,Other,Philadelphia,2025-10-09
U00017,58,F,Delhi,2026-07-03
U00018,37,M,Dallas,2025-10-03
U00019,34,F,San Diego,2025-11-11
U00020,73,M,London,2026-04-19
U00021,38,Other,Mumbai,2026-03-11
U00022,21,M,San Diego,2025-10-01
U00023,63,F,Los Angeles,2026-03-02
U00024,20,M,Los Angeles,2025-10-31
U00025,21,F,San Antonio,2025-11-08
U00026,24,M,Shanghai,2025-11-15
U00027,54,Other,Philadelphia,2026-01-27
U00028,51,M,Delhi,2025-11-28
U00029,18,Other,Los Angeles,2026-01-01
U00030,66,F,Philadelphia,2026-06-01
U00031,31,F,Delhi,2026-03-17
U00032,42,Other,Los Angeles,2025-10-08
U00033,65,F,Tokyo,2026-05-30
U00034,39,Other,Los Angeles,2025-10-31
U00035,71,Other,Philadelphia,2026-01-26
U00036,72,F,Chicago,2026-02-10
U00037,32,Other,Dallas,2026-08-15
U00038,32,F,Chicago,2025-10-25
U00039,41,M,Chicago,2025-09-16
U00040,20,Other,Philadelphia,2026-05-04
U00041,62,F,Phoenix,2026-02-11
U00042,43,F,Chicago,2026-03-03
U00043,33,M,San Jose,2025-10-01
U00044,32,F,Los Angeles,2026-08-04
U00045,59,F,Shanghai,2025-11-06
U00046,38,F,San Antonio,2026-04-27
U00047,74,M,Shanghai,2025-12-28
U00048,40,Other,Philadelphia,2026-05-17
