product_id,product_name,category,subcategory,brand,description,price,rating,stock,created_at
P00001,Standard Sports 1,Sports,Equipment,Standard,"High-quality sports product. Features durability, style, and value.",962.21,3.3,565,2026-04-08
P00002,Elite Beauty 2,Beauty,Fragrances,Elite,"High-quality beauty product. Features durability, style, and value.",30.22,3.1,475,2026-02-25
P00003,Budget Toys 3,Toys,Board Games,Budget,"High-quality toys product. Features durability, style, and value.",573.33,3.2,87,2026-06-24
P00004,BrandA Fashion 4,Fashion,Shoes,BrandA,"High-quality fashion product. Features durability, style, and value.",778.66,2.4,464,2026-03-14
P00005,BrandD Electronics 5,Electronics,Tablets,BrandD,"High-quality electronics product. Features durability, style, and value.",653.77,3.6,201,2026-05-01
P00006,Budget Food 6,Food,Organic,Budget,"High-quality food product. Features durability, style, and value.",457.93,2.2,510,2026-02-26
P00007,BrandC Fashion 7,Fashion,Accessories,BrandC,"High-quality fashion product. Features durability, style, and value.",44.0,4.3,552,2026-04-06
P00008,BrandC Electronics 8,Electronics,Accessories,BrandC,"High-quality electronics product. Features durability, style, and value.",743.1,4.4,40,2026-03-14
P00009,Luxury Books 9,Books,Self-Help,Luxury,"High-quality books product. Features durability, style, and value.",878.94,4.6,76,2026-04-28
P00010,BrandC Electronics 10,Electronics,Tablets,BrandC,"High-quality electronics product. Features durability, style, and value.",634.74,2.4,271,2026-06-20
P00011,Standard Home & Garden 11,Home & Garden,Bedding,Standard,"High-quality home & garden product. Features durability, style, and value.",846.65,4.4,71,2026-05-08
P00012,BrandC Books 12,Books,Educational,BrandC,"High-quality books product. Features durability, style, and value.",346.89,3.0,686,2026-04-18
P00013,Standard Sports 13,Sports,Accessories,Standard,"High-quality sports product. Features durability, style, and value.",663.7,3.2,700,2026-07-12
P00014,BrandB Electronics 14,Electronics,Smartphones,BrandB,"High-quality electronics product. Features durability, style, and value.",177.52,4.8,503,2026-04-02
P00015,Budget Food 15,Food,Snacks,Budget,"High-quality food product. Features durability, style, and value.",361.54,3.4,467,2026-03-01
P00016,BrandD Toys 16,Toys,Board Games,BrandD,"High-quality toys product. Features durability, style, and value.",648.44,3.2,110,2026-08-17
P00017,Premium Electronics 17,Electronics,Laptops,Premium,"High-quality electronics product. Features durability, style, and value.",800.84,2.5,791,2026-06-06
P00018,BrandD Food 18,Food,Organic,BrandD,"High-quality food product. Features durability, style, and value.",831.43,2.5,444,2026-04-22
P00019,BrandA Food 19,Food,Specialty,BrandA,"High-quality food product. Features durability, style, and value.",498.28,2.4,42,2026-06-26
P00020,Standard Food 20,Food,Beverages,Standard,"High-quality food product. Features durability, style, and value.",423.27,3.1,273,2026-03-19
P00021,Elite Beauty 21,Beauty,Makeup,Elite,"High-quality beauty product. Features durability, style, and value.",808.83,5.0,147,2026-04-15
P00022,Budget Electronics 22,Electronics,Accessories,Budget,"High-quality electronics product. Features durability, style, and value.",487.15,4.3,733,2026-08-07
P00023,Budget Food 23,Food,Snacks,Budget,"High-quality food product. Features durability, style, and value.",690.09,2.5,819,2026-08-03
P00024,Elite Electronics 24,Electronics,Smartphones,Elite,"High-quality electronics product. Features durability, style, and value.",410.02,3.6,540,2026-07-23
P00025,Luxury Fashion 25,Fashion,Women's Clothing,Luxury,"High-quality fashion product. Features durability, style, and value.",83.08,3.4,192,2026-06-15
P00026,Premium Books 26,Books,Fiction,Premium,"High-quality books product. Features durability, style, and value.",149.39,3.3,898,2026-04-13
P00027,Standard Beauty 27,Beauty,Skincare,Standard,"High-quality beauty product. Features durability, style, and value.",863.79,2.8,805,2026-03-25
P00028,BrandD Beauty 28,Beauty,Makeup,BrandD,"High-quality beauty product. Features durability, style, and value.",510.75,2.3,893,2026-03-09
P00029,BrandD Fashion 29,Fashion,Women's Clothing,BrandD,"High-quality fashion product. Features durability, style, and value.",471.17,3.2,832,2026-07-07
P00030,BrandD Toys 30,Toys,Action Figures,BrandD,"High-quality toys product. Features durability, style, and value.",97.48,4.7,90,2026-04-16
P00031,BrandD Beauty 31,Beauty,Makeup,BrandD,"High-quality beauty product. Features durability, style, and value.",358.49,2.2,394,2026-07-10
P00032,Budget Electronics 32,Electronics,Laptops,Budget,"High-quality electronics product. Features durability, style, and value.",557.87,4.7,31,2026-03-18
P00033,Luxury Fashion 33,Fashion,Shoes,Luxury,"High-quality fashion product. Features durability, style, and value.",288.32,3.9,977,2026-03-11
P00034,Budget Beauty 34,Beauty,Haircare,Budget,"High-quality beauty product. Features durability, style, and value.",165.88,2.8,344,2026-05-14
P00035,Elite Home & Garden 35,Home & Garden,Kitchen,Elite,"High-quality home & garden product. Features durability, style, and value.",965.48,2.9,971,2026-02-22
P00036,Elite Fashion 36,Fashion,Shoes,Elite,"High-quality fashion product. Features durability, style, and value.",616.0,2.5,847,2026-03-01
P00037,BrandA Beauty 37,Beauty,Skincare,BrandA,"High-quality beauty product. Features durability, style, and value.",91.03,4.9,976,2026-03-02
P00038,Luxury Home & Garden 38,Home & Garden,Furniture,Luxury,"High-quality home & garden product. Features durability, style, and value.",407.85,2.7,926,2026-07-10
P00039,Elite Toys 39,Toys,Action Figures,Elite,"High-quality toys product. Features durability, style, and value.",293.34,2.4,550,2026-04-22
P00040,BrandD Electronics 40,Electronics,Accessories,BrandD,"High-quality electronics product. Features durability, style, and value.",657.11,3.0,204,2026-06-22
P00041,Elite Books 41,Books,Non-Fiction,Elite,"High-quality books product. Features durability, style, and value.",373.84,4.9,865,2026-06-18
P00042,BrandD Food 42,Food,Beverages,BrandD,"High-quality food product. Features durability, style, and value.",304.31,3.5,261,2026-02-20
P00043,Budget Home & Garden 43,Home & Garden,Bedding,Budget,"High-quality home & garden product. Features durability, style, and value.",740.14,3.7,676,2026-03-29
P00044,Elite Toys 44,Toys,Action Figures,Elite,"High-quality toys product. Features durability, style, and value.",603.27,4.2,679,2026-03-12
P00045,Budget Books 45,Books,Educational,Budget,"High-quality books product. Features durability, style, and value.",421.76,4.4,227,2026-04-25
P00046,Elite Beauty 46,Beauty,Makeup,Elite,"High-quality beauty product. Features durability, style, and value.",52.29,3.6,395,2026-05-15
P00047,Budget Home & Garden 47,Home & Garden,Bedding,Budget,"High-quality home & garden product. Features durability, style, and value.",650.41,4.5,880,2026-03-28
P00048,BrandE Fashion 48,Fashion,Women's Clothing,BrandE,"High-quality fashion product. Features durability, style, and value.",653.24,4.4,379,2026-06-04
P00049,BrandE Books 49,Books,Self-Help,BrandE,"High-quality books product. Features durability, style, and value.",162.41,4.3,291,2026-03-01
P00050,BrandD Fashion 50,Fashion,Accessories,BrandD,"High-quality fashion product. Features durability, style, and value.",739.14,2.2,669,2026-05-05
P00051,BrandE Sports 51,Sports,Equipment,BrandE,"High-quality sports product. Features durability, style, and value.",320.48,3.1,248,2026-05-28
P00052,BrandA Electronics 52,Electronics,Smartphones,BrandA,"High-quality electronics product. Features durability, style, and value.",830.28,3.2,88,2026-03-30
P00053,BrandD Food 53,Food,Specialty,BrandD,"High-quality food product. Features durability, style, and value.",275.47,3.8,731,2026-04-09
P00054,BrandC Books 54,Books,Educational,BrandC,"High-quality books product. Features durability, style, and value.",454.19,4.6,645,2026-06-12
P00055,BrandD Food 55,Food,Beverages,BrandD,"High-quality food product. Features durability, style, and value.",597.69,3.3,472,2026-07-04
P00056,Luxury Beauty 56,Beauty,Makeup,Luxury,"High-quality beauty product. Features durability, style, and value.",965.98,4.5,725,2026-04-30
P00057,BrandB Food 57,Food,Specialty,BrandB,"High-quality food product. Features durability, style, and value.",847.11,2.0,110,2026-06-08
